league,league_name,market,n,logloss_poisson,brier_poisson,logloss_ml,brier_ml
I2,Serie B,under_0.5,190,0.27257283548108835,0.07225483911705478,0.27420076718990494,0.07260454417743663
I2,Serie B,under_1.5,190,0.5996920277143319,0.20218267677463317,0.5942672246996591,0.20106416785561274
I2,Serie B,under_2.5,190,0.7226695566422329,0.26449595919679814,0.7162516224594939,0.2614328846131821
I2,Serie B,under_3.5,190,0.5988340193629219,0.20336182632699193,0.5901981807293256,0.19790701112808404
N1,Eredivisie,1x2_away,160,0.5329419061987846,0.17407088498136775,0.5295817394161937,0.17440133492115867
N1,Eredivisie,1x2_draw,160,0.5888685046504455,0.19527496096172542,0.5646987929164906,0.1897095781290839
N1,Eredivisie,1x2_home,160,0.6601666581316982,0.23573302956605852,0.6354207280836114,0.22682479050710141
N1,Eredivisie,btts_no,160,0.645653906793044,0.22736501904551334,0.6485892947724154,0.22852322236544068
N1,Eredivisie,btts_yes,160,0.6456539067930441,0.22736501904551334,0.6485892947724154,0.22852322236544068
N1,Eredivisie,dc_12,160,0.5888685046504454,0.19527496096172542,0.5646987929164906,0.1897095781290839
N1,Eredivisie,dc_1x,160,0.5329419061987846,0.17407088498136775,0.5295817394161937,0.17440133492115867
N1,Eredivisie,dc_2x,160,0.6601666581316982,0.23573302956605852,0.6354207280836114,0.22682479050710141
N1,Eredivisie,over_0.5,160,0.07468157821277806,0.012979995902881711,0.07974547095599517,0.013572214675880706
N1,Eredivisie,over_1.5,160,0.3938284010457239,0.12169820857199118,0.392427796020231,0.12079356516340087
N1,Eredivisie,over_2.5,160,0.6522165481789223,0.22832513264113516,0.6378921257307322,0.22364982008479303
N1,Eredivisie,over_3.5,160,0.6798453416495785,0.2429098576040082,0.6609440894593019,0.2349520303433242
N1,Eredivisie,under_0.5,160,0.07468157821277813,0.012979995902881708,0.07974547095599523,0.013572214675880712
N1,Eredivisie,under_1.5,160,0.3938284010457239,0.12169820857199118,0.3924277960202309,0.12079356516340087
N1,Eredivisie,under_2.5,160,0.6522165481789223,0.22832513264113516,0.6378921257307322,0.223649820084793
N1,Eredivisie,under_3.5,160,0.6798453416495785,0.2429098576040082,0.6609440894593019,0.2349520303433242
P1,Portugal Primeira Liga,1x2_away,153,0.5183812927974394,0.1734831517908562,0.5072158624824333,0.16777607267597652
P1,Portugal Primeira Liga,1x2_draw,153,0.5987722811601726,0.20098755628150536,0.5877854442599334,0.198133189788278
P1,Portugal Primeira Liga,1x2_home,153,0.5929170499400147,0.2031098079334073,0.5605498099755576,0.19117730226642202
P1,Portugal Primeira Liga,btts_no,153,0.6993134234156976,0.25257125329673136,0.6944003009140671,0.2505137682958871
P1,Portugal Primeira Liga,btts_yes,153,0.6993134234156976,0.25257125329673136,0.6944003009140671,0.2505137682958871
P1,Portugal Primeira Liga,dc_12,153,0.5987722811601727,0.20098755628150536,0.5877854442599335,0.198133189788278
P1,Portugal Primeira Liga,dc_1x,153,0.5183812927974394,0.1734831517908562,0.5072158624824333,0.16777607267597652
P1,Portugal Primeira Liga,dc_2x,153,0.5929170499400146,0.20310980793340727,0.5605498099755575,0.19117730226642202
P1,Portugal Primeira Liga,over_0.5,153,0.20492351008260903,0.05326714570310782,0.2061269260785629,0.05333280988348145
P1,Portugal Primeira Liga,over_1.5,153,0.5229349339534072,0.17248381240021624,0.5290785135862606,0.1754057684992259
P1,Portugal Primeira Liga,over_2.5,153,0.6475590476659073,0.22757788956459823,0.6500875647724457,0.2286131758342631
P1,Portugal Primeira Liga,over_3.5,153,0.5837226395215691,0.19695214815760292,0.5845752725517758,0.19745251167979197
P1,Portugal Primeira Liga,under_0.5,153,0.20492351008260903,0.05326714570310782,0.2061269260785629,0.05333280988348145
